"feature_id_full","feature_id","feature_mz","feature_rt","sirius_molecularformula"
"10_312.22_6.4",10,312.217181773802,6.43624310508474,"C17H31NO5"
"1000_121.07_1",1000,121.065084907098,1.04013450658537,"C8H8O"
"1002_621.22_3.2",1002,621.215224931825,3.18476506792453,NA
"1004_337.24_6.8",1004,337.236084852993,6.7896998804878,"C20H34O5"
"1006_349.19_2",1006,349.185760498047,1.96542101333333,"C16H28O8"
"1008_305.15_3.4",1008,305.149386733326,3.36137924029851,"C16H20N2O4"
"1010_261.22_8.9",1010,261.221411716129,8.93154854044944,"C18H30O2"
"1011_165.13_4.8",1011,165.127479305327,4.81233474552845,"C11H18O2"
"1014_207.14_2.3",1014,207.138059728875,2.29976179411765,"C13H20O3"
"1015_200.04_0.6",1015,200.044198934771,0.606117697087379,NA
"1016_335.16_3.7",1016,335.160219163657,3.67921879230769,"C17H24N2O6"
"1018_301.22_7.1",1018,301.216371987366,7.09491050243902,"C20H30O3"
"1019_299.2_7.3",1019,299.200323898427,7.27027135393259,"C20H28O3"
"102_450.16_2.2",102,450.16078203111,2.17516120888889,"C23H26FN3O3"
"1020_203.11_3.5",1020,203.108868306049,3.45941822068965,"C10H20O3S"
"1021_482.32_7.3",1021,482.324860895691,7.25700420833333,"C23H48NO7P"
"1022_339.29_8.4",1022,339.289456267937,8.39038181941748,"C21H40O4"
"1024_317.03_2.8",1024,317.028764205322,2.79287547727273,"C15H8O8"
"1027_193.09_2.3",1027,193.085905475918,2.34029563564356,"C11H14O4"
"1029_390.18_3.1",1029,390.17587153138,3.09641417666667,"C18H25N5O6"
"103_350.22_3.2",103,350.217531510008,3.18839693043478,"C16H31NO7"
"1030_444.33_7.8",1030,444.332099604709,7.83127607479675,"C24H47NO7"
"1035_319.1_2",1035,319.104740148315,1.9688687625,NA
"1036_457.21_3.3",1036,457.206180335754,3.3090723546875,NA
"1037_527.25_4",1037,527.245861711262,3.99712729827586,NA
"1039_348.17_2.3",1039,348.165367589074,2.26471612272727,"C15H25NO8"
"1040_365.27_7.7",1040,365.268575326432,7.66549013523809,"C22H38O5"
"1043_295.04_2.7",1043,295.044843673859,2.73992929375,"C13H12O9"
"1044_587.47_11.2",1044,587.467433052234,11.1699195384615,"C35H64O5"
"1047_402.18_2.8",1047,402.176509332011,2.80205708103448,NA
"1053_483.22_4.5",1053,483.220386991987,4.46165638727273,NA
"1055_331.15_3.2",1055,331.154143066406,3.174473144,"C17H24O5"
"1057_314.11_0.7",1057,314.10862912367,0.675125229861111,"C11H15N5O6"
"1058_377.23_7",1058,377.232138639359,7.0040644,"C22H32O5"
"1059_311.26_9.1",1059,311.258737724058,9.13432945130435,"C19H34O3"
"1060_398.15_2.3",1060,398.145661268972,2.25003402045455,NA
"1061_253.12_2",1061,253.117907694129,1.96923951232877,"C12H16N2O4"
"1062_357.14_3.7",1062,357.142506507178,3.67721456774194,"C14H26N2O6"
"1063_154.16_4.8",1063,154.159083230155,4.78931069285714,"C10H19N"
"1065_324.29_8.5",1065,324.289708196279,8.45008633675214,"C20H37NO2"
"1066_495.18_3",1066,495.183216728406,3.0494679238806,"C22H32O11"
"1068_332.22_6.3",1068,332.219979558921,6.34155999910714,NA
"1069_256.08_0.6",1069,256.081557228877,0.647622926785714,"C11H13NO6"
"107_206.07_4.4",107,206.066875117014,4.40490339268293,"C8H15NOS2"
"1070_549.42_10.9",1070,549.415933506463,10.9051214471545,NA
"1072_252.99_0.7",1072,252.987764442441,0.744123850869565,"C5H11O7P"
"1073_553.26_3.8",1073,553.26173048753,3.7767754,NA
"1074_317.21_7.8",1074,317.209166118744,7.79660185625,NA
"1075_165.08_0.7",1075,165.076191250928,0.650918970789474,"C6H14O6"
"1076_439.16_3",1076,439.158310936956,2.95179488550725,NA
"1078_332.09_7.7",1078,332.091814314017,7.73563332857143,"C20H13NO4"
"1079_169.04_0.7",1079,169.035231928599,0.71277966959596,"C5H4N4O3"
"108_327.2_2.5",108,327.201207230802,2.48347954065041,"C14H30O8"
"1080_222.11_2.2",1080,222.112510557097,2.15761003821138,"C12H17NO4"
"1083_607.29_7.9",1083,607.286315931702,7.9310269875,"C33H44O9"
"1084_322.09_2.2",1084,322.090409821945,2.23300450196078,"C15H17NO8"
"1085_279.23_8.9",1085,279.231942403086,8.93991362276423,"C18H30O2"
"1086_328.23_2.3",1086,328.232752619744,2.28344054054054,"C15H31N5O4"
"1087_436.22_3.9",1087,436.217714213027,3.87561104915254,"C20H29N5O6"
"1090_272.19_4.4",1090,272.185432434919,4.35374758571429,"C14H27NO5"
"1091_137.1_2.8",1091,137.096148877439,2.77231450661157,"C9H14O2"
"1093_219.17_7.5",1093,219.174462140148,7.53275299512195,"C15H22O"
"1094_656.53_10.4",1094,656.530814071966,10.3956269837398,"C38H73NO5S"
"1095_369.17_2.4",1095,369.166144930143,2.40956661034483,"C17H24N2O7"
"1097_577.37_4.1",1097,577.367001958864,4.06037012605042,NA
"1098_315.09_5.8",1098,315.086215308131,5.7604155984127,"C17H14O6"
"11_590.32_7.3",11,590.324582615488,7.31393180769231,"C30H50NO7P"
"110_691.4_8.8",110,691.402310562875,8.79866045875,NA
"1102_252.2_3.7",1102,252.201148989136,3.72490818333333,NA
"1103_706.53_10.6",1103,706.525063884723,10.5630620133333,"C41H73NO9"
"1106_431.19_3.6",1106,431.190690842425,3.56298336393443,"C20H30O10"
"1109_578.32_7.2",1109,578.321624756325,7.21783493636364,NA
"111_375.12_2.1",111,375.115961282175,2.08282065744681,NA
"1111_540.24_3",1111,540.243914334376,3.00697730943396,"C26H37NO11"
"1113_743.2_2.8",1113,743.202409744263,2.8247885375,"C32H38O20"
"1114_343.12_1.4",1114,343.123260074517,1.38186762916667,"C12H22O11"
"1116_317.21_7.3",1116,317.211759572132,7.29087597794118,"C20H30O4"
"1118_342.23_3.9",1118,342.227392674072,3.9252533546875,"C18H31NO5"
"1119_309.21_8",1119,309.205960694203,7.960549164,"C18H28O4"
"112_611.16_2.5",112,611.16058050651,2.45369216666667,"C27H30O16"
"1121_277.22_5",1121,277.216375564048,5.02566232777778,"C18H30O3"
"1122_203_0.7",1122,203.003815800528,0.732414373975904,"C5H3F3N2O2"
"1123_210.11_0.9",1123,210.112321119797,0.925093145681818,"C11H15NO3"
"1125_910.52_4.5",1125,910.515510559082,4.4617588,"C47H75NO16"
"1129_433.17_3.9",1129,433.173104204592,3.93125134,NA
"113_225.15_2.7",113,225.148517610314,2.67823006476191,"C13H20O3"
"1130_531.26_5.7",1130,531.257896130641,5.70213013076923,NA
"1132_465.1_2.7",1132,465.102342459393,2.74446458846154,"C21H20O12"
"1135_301.07_2.8",1135,301.070948745872,2.75688607878788,"C16H12O6"
"1138_407.07_2.8",1138,407.073823474702,2.79546140238095,NA
"1141_406.16_2.6",1141,406.164972876758,2.56926143783784,"C16H27N3O7S"
"1142_361.09_2.2",1142,361.090720368205,2.21785937666667,"C16H18O8"
"1143_386.27_8",1143,386.266585173801,8.04929531851852,NA
"1144_508.24_2.9",1144,508.238655784016,2.91331604318182,"C28H39Cl2NO3"
"1146_411.31_9.3",1146,411.310826620015,9.2551295,"C24H42O5"
"1147_312.17_2.5",1147,312.165358544124,2.49404247,"C13H23N5O5"
"1148_328.08_3",1148,328.078735351562,3.0389059,NA
"1149_428.34_9.3",1149,428.337407778443,9.25039683474576,NA
"115_792.56_11",115,792.561284855675,11.0193601688312,"C43H79NO10"
"1151_370.21_2.4",1151,370.207107768609,2.39697049264706,NA
"1153_181.05_2.7",1153,181.049579567816,2.67387947361111,"C9H8O4"
"1155_389.22_2.7",1155,389.217145920797,2.6959912625,"C19H32O8"
"1157_186.99_0.9",1157,186.992581158429,0.885120279024391,"C5H9O3P"
"1158_482.26_3.3",1158,482.259379235033,3.32010839677419,"C22H35N5O7"
"1160_606.26_4.3",1160,606.257376538563,4.31830375238095,NA
"1161_552.48_11.1",1161,552.483666094358,11.1069892295082,NA
"1162_392.19_1.5",1162,392.190771486975,1.50835597,NA
"1165_292.23_6.5",1165,292.22661297199,6.47518074358974,"C18H29NO2"
"1166_416.16_2.4",1166,416.155619306559,2.44711449166667,"C18H27NO11"
"1170_309.12_4.4",1170,309.117891947625,4.41279657777778,"C12H22O10"
"1173_336.16_3.2",1173,336.155181560292,3.20227011702128,"C16H23N3O6"
"1174_253.15_1.5",1174,253.154213691371,1.54004944516129,"C13H20N2O3"
"1175_359.18_2.2",1175,359.181689140343,2.21792776666667,"C15H24N6O3"
"1178_428.32_4.5",1178,428.316285271781,4.50383195714286,NA
"1179_532.34_8.1",1179,532.337403570156,8.145769012,"C25H52NO7P"
"118_451.23_4.8",118,451.233025529002,4.76622265121951,"C24H36O9"
"1182_207.07_3.2",1182,207.065129340993,3.21788786962025,"C11H12O5"
"1184_257.18_4.1",1184,257.17538026276,4.08755099705882,NA
"1186_303.05_2.7",1186,303.049795440356,2.73657062121212,"C15H10O7"
"1187_429.37_11.1",1187,429.37307889325,11.1030220446429,"C29H48O2"
"1189_362.31_6.8",1189,362.305599413854,6.83221297894737,"C23H39NO2"
"119_350.27_8.2",119,350.270510992808,8.22026649166667,"C21H37NO4"
"1191_420.22_5",1191,420.222800482309,4.97701522698413,"C20H29N5O5"
"1192_206.05_0.9",1192,206.047453957029,0.904659921346154,"C7H13NO5S"
"1193_408.22_2.1",1193,408.223851605754,2.13236609354839,"C20H25N9O"
"1194_223.17_5.1",1194,223.169359968236,5.1447908504065,"C14H24O3"
"1195_441.21_3.7",1195,441.209733040575,3.67250794516129,"C20H34O9"
"1196_414.18_3",1196,414.176459643421,3.01168022653061,"C19H27NO9"
"1198_326.31_9.1",1198,326.305419013977,9.07401495238095,"C20H39NO2"
"1199_492.22_3.8",1199,492.218817401652,3.75404980833333,"C21H37N3O6S2"
"1200_241.22_5.8",1200,241.216112470221,5.84360703884297,"C15H30O3"
"1201_314.06_1.6",1201,314.063174807224,1.57221795172414,NA
"1202_804.54_10.1",1202,804.541757465254,10.1286298085106,"C40H80NO11P"
"1203_252.09_2.8",1203,252.086626154267,2.75434862368421,"C12H13NO5"
"1204_276.23_4.5",1204,276.230289858057,4.47910065172414,NA
"1206_458.31_7.6",1206,458.311274531468,7.6403720175,"C25H39N5O3"
"1207_222.15_2.7",1207,222.149463735611,2.736484667,"C13H21NO3"
"1208_309.17_5.8",1208,309.169446703521,5.83171625641025,"C17H24O5"
"1210_487.22_3.3",1210,487.215314097763,3.33331106842105,"C21H36O11"
"1212_357.14_3.2",1212,357.144916262299,3.2314189875,"C19H20N2O5"
"1215_204.12_1.5",1215,204.123095635276,1.46682972909091,"C9H17NO4"
"1216_474.23_3.9",1216,474.233228340028,3.90996885409836,"C23H31N5O6"
"1217_176.01_0.6",1217,176.010924572784,0.609421360444445,NA
"122_223.06_3.2",122,223.060720320806,3.24079225322581,"C11H10O5"
"1220_441.17_3.5",1220,441.173398216572,3.46861556984127,"C19H30O10"
"1222_186.15_4.2",1222,186.148879942959,4.19183042601626,"C10H19NO2"
"1223_490.17_2.3",1223,490.170640945435,2.30351883125,"C24H29NO11"
"1224_345.19_2.9",1224,345.190773703835,2.89813385,"C17H28O7"
"1226_616.26_3.9",1226,616.264800228888,3.92590838157895,"C34H37N3O8"
"1227_353.09_2.3",1227,353.086579364537,2.25650350779221,"C16H18O10"
"1228_250.94_1.6",1228,250.935317874045,1.55527896190476,"C4H5O8P"
"1229_218.1_2.7",1229,218.102292785786,2.714735276,"C9H15NO5"
"1232_222.11_1.6",1232,222.112464099104,1.63369382926829,"C12H17NO4"
"1234_618.4_4.4",1234,618.400129045759,4.40837471428571,"C36H51N5O4"
"1236_493.22_3.1",1236,493.218152133562,3.05026225909091,"C25H28N6O5"
"1237_307.23_7.2",1237,307.226695239874,7.18001849911504,"C19H32O4"
"1238_360.21_2.3",1238,360.212640936812,2.27457568181818,"C16H29N3O6"
"124_353.13_2.1",124,353.134257885056,2.06601445942029,"C16H20N2O7"
"1241_314.14_3.8",1241,314.138530854348,3.80312809032258,"C18H19NO4"
"1245_289.07_2.6",1245,289.070981655821,2.62964113658537,"C15H14O7"
"1249_450.2_2.4",1249,450.197494956521,2.42297294411765,"C20H27N5O7"
"125_235.14_2",125,235.144155275142,2.028503434,"C13H18N2O2"
"1250_683.45_10.6",1250,683.449110667036,10.5619698194444,NA
"1251_297.24_6.6",1251,297.242575792762,6.6156274195122,"C18H34O4"
"1252_298.09_1.6",1252,298.089876960514,1.55885345882353,"C11H17NO7"
"1253_807.34_4.3",1253,807.343961149176,4.27331302702703,NA
"1254_373.11_2.9",1254,373.113058665506,2.8862787047619,"C16H20O10"
"1255_589.41_10.3",1255,589.409990584128,10.2670974464286,"C35H56O7"
"1256_185.03_0.6",1256,185.03215448504,0.606555457017544,"C5H10N2O3"
"1258_337.24_6.2",1258,337.235169257152,6.15677369238095,NA
"1259_660.42_9.1",1259,660.423243320363,9.12834143033708,"C41H59NO7"
"1262_365.19_1.7",1262,365.192257695723,1.717615,"C21H24BNO4"
"1263_235.15_4.2",1263,235.147972954848,4.2196269,"C10H22N2O2S"
"1264_438.12_1.9",1264,438.115926954481,1.90187167222222,NA
"1267_354.23_5.8",1267,354.227930450861,5.8335282,"C19H31NO5"
"1268_266.16_1.4",1268,266.159648133213,1.43835409,"C11H23NO6"
"127_510.36_8.3",127,510.35582641803,8.310944083,"C25H52NO7P"
"1270_189.16_1.5",1270,189.159654639545,1.48040168850575,"C9H20N2O2"
"1271_362.27_6.1",1271,362.269240841923,6.09151168387097,"C22H37NO4"
"1272_760.58_10",1272,760.582182400872,9.95549730377358,"C42H82NO8P"
"1275_772.58_10.6",1275,772.584718531692,10.6220985471698,"C43H82NO8P"
"1276_165.05_2.8",1276,165.0546128556,2.75677547777778,"C9H10O4"
"1277_133.1_5.9",1277,133.101338468034,5.86700400254237,"C10H12"
"1279_476.18_2.6",1279,476.176664206919,2.61756580192308,"C20H29NO12"
"1280_295.23_5.9",1280,295.226903342148,5.91431900406504,"C18H32O4"
"1281_535.14_3.3",1281,535.144487169867,3.31842276111111,"C25H26O13"
"1283_289.09_1.8",1283,289.092891601689,1.77475561097561,NA
"1284_393.06_1.9",1284,393.058199126576,1.92621682758621,NA
"1286_210.06_0.8",1286,210.060811982749,0.801064316410256,"C6H7B2NO6"
"1287_312.33_10.8",1287,312.326226122225,10.8051758791209,NA
"129_591.2_2.9",129,591.204625059225,2.91009600923077,"C24H40O14"
"1290_251.13_3.6",1290,251.127604538964,3.56250939756098,"C14H20O5"
"1291_324.11_2.8",1291,324.108078769763,2.84440001,"C15H19NO8"
"1294_121.06_1",1294,121.056163787842,1.02563911333333,NA
"1296_535.4_10.2",1296,535.40044050146,10.2103219512195,NA
"1297_354.29_6.8",1297,354.285130687218,6.7930076961039,NA
"1299_249.12_1.6",1299,249.123332825532,1.590714024,"C13H18N2O4"
"13_288.19_2.6",13,288.192257585719,2.59598687241379,"C13H25N3O4"
"1300_399.11_2.2",1300,399.105579962158,2.17221346271186,NA
"1301_178.13_2.1",1301,178.133977961064,2.09830208240741,"C10H15N3"
"1303_428.32_4",1303,428.315985108203,3.95096372,NA
"1305_435.29_8.2",1305,435.28933605269,8.16119364492753,"C29H40O4"
"1308_393.19_3.5",1308,393.188193279973,3.47232798985507,NA
"131_353.23_5.5",131,353.230029392349,5.49287360263158,NA
"1311_398.23_9",1311,398.232761383819,8.95504702727273,"C24H31NO4"
"1312_412.18_3.6",1312,412.180888157265,3.62149650980392,"C17H25N5O7"
"1313_390.21_3.5",1313,390.212220817092,3.48286995344828,"C19H29N5O5"
"1315_620.43_8.4",1315,620.432463158761,8.40670029047619,"C32H62NO8P"
"1316_242.15_2.9",1316,242.151598538939,2.91701525294118,NA
"1318_434.2_2.4",1318,434.202091383732,2.40104239130435,"C17H33NO10"
"1319_926.51_4.4",1319,926.510385513306,4.41073258125,"C47H75NO17"
"132_313.27_8.8",132,313.273458932274,8.79186381235955,"C19H38O4"
"1320_275.2_7.8",1320,275.200572968006,7.7619727,"C18H28O3"
"1321_372.26_2.5",1321,372.259260858975,2.48647316696429,"C17H35N5O5"
"1322_792.56_11.2",1322,792.562314098751,11.2175550550459,"C43H79NO10"
"1326_191.14_3",1326,191.143108972866,2.95580728536585,"C13H18O"
"133_328.92_0.5",133,328.915390018281,0.520178006,NA
"1331_549.14_4.7",1331,549.136806079252,4.73589012153846,NA
"1333_144.08_2.3",1333,144.080919447461,2.27870438631579,"C10H11NO"
"1334_248.11_6",1334,248.113795043383,5.96729575625,"C11H21NOS2"
"1335_558.2_3.5",1335,558.201099743042,3.53133338181818,"C29H33N3O6"
"1336_301.03_3.1",1336,301.034410603841,3.09038218333333,"C15H10O8"
"1338_441.25_4",1338,441.245826843314,4.02780153174603,NA
"134_382.13_3.2",134,382.128756356891,3.17559485294118,"C21H21NO7"
"1341_379.28_8.8",1341,379.283976240967,8.81393686666667,"C23H38O4"
"1343_634.45_8.4",1343,634.45254860898,8.3855876084507,"C34H61N5O7"
"1345_464.18_2.2",1345,464.176669579328,2.24674907681159,"C21H26F3N3O4"
"1347_399.14_3.2",1347,399.141012828954,3.23632906111111,NA
"1349_323.07_2.2",1349,323.073919951766,2.23455967462687,"C13H16O8"
"1350_416.26_3.5",1350,416.264157440002,3.48828822465753,"C21H37NO7"
"1352_221.19_3.8",1352,221.189955372144,3.78580081525424,"C15H26O2"
"1354_656.26_3.5",1354,656.25562843137,3.50122658918919,"C29H39N5O11"
"1355_307.26_9.6",1355,307.263373705214,9.64940530819672,"C20H34O2"
"1356_480.16_8.9",1356,480.157407683193,8.91756380650407,"C20H31N3O6S"
"1359_239.97_0.5",1359,239.966635386454,0.513031193070175,"C7H4ClNO5"
"136_221.04_1.4",136,221.041944659259,1.35565837972973,NA
"1360_426.3_6.3",1360,426.299642389859,6.28840260909091,"C27H41NO4"
"1361_415.1_1.9",1361,415.101341253967,1.88140373,NA
"1364_344.28_6.2",1364,344.279511262268,6.18367440166667,"C19H37NO4"
"1365_365.17_3.3",1365,365.171036640067,3.32534859714286,"C18H24N2O6"
"1368_404.16_3",1368,404.155417471386,3.04324043939394,"C18H21N5O6"
"1369_703.4_8.8",1369,703.402438491444,8.82467081940299,NA
"137_538.23_3.1",137,538.228138078962,3.13962054571429,"C26H35NO11"
"1374_365.06_2.4",1374,365.064050247644,2.3643908119403,"C18H14O7"
"1377_591.2_3.2",1377,591.204513827752,3.23702860727273,NA
"1378_381.08_1.8",1378,381.079345307016,1.75543814935065,"C12H22O11"
"138_174.19_3.8",138,174.185271153703,3.83084842295082,"C10H23NO"
"1380_353.33_3.8",1380,353.32758856012,3.845276053125,"C20H40N4O"
"1381_328.25_4.8",1381,328.248697771343,4.76305275686274,"C18H33NO4"
"1382_746.61_10.6",1382,746.605902632505,10.642596326087,"C42H84NO7P"
"1383_317.21_5.4",1383,317.211176806447,5.3545549943662,"C20H30O4"
"1384_208.13_2.5",1384,208.133094664106,2.47776720487805,"C12H17NO2"
"1385_788.61_10.3",1385,788.609429961077,10.3377195284553,NA
"1387_300.29_6.8",1387,300.290052519342,6.82686962795699,"C18H37NO2"
"1389_502.33_7.4",1389,502.328403365767,7.41060066666667,"C24H50NO6P"
"139_255.07_5.8",139,255.065441132553,5.80329045,"C15H12O5"
"1390_418.29_8.7",1390,418.286443685179,8.676685556,"C24H36FN3O2"
"1392_453.14_2.9",1392,453.136766655789,2.85951249180328,NA
"1393_298.27_6.6",1393,298.274180699052,6.574754655,"C18H35NO2"
"1394_296.07_0.6",1394,296.065991516534,0.5886312496,"C8H20NO6P"
"1395_389.22_3",1395,389.217021562134,2.967520135,"C19H34O9"
"1396_165.05_3.2",1396,165.054651595106,3.19664404125,"C9H10O4"
"1397_330.3_6.6",1397,330.30013987286,6.6026022,"C19H39NO3"
"1399_152.07_2.2",1399,152.070682938952,2.23911494083333,"C8H9NO2"
"14_667.45_10.4",14,667.453468777681,10.3821293529412,NA
"140_366.3_8.6",140,366.300443420637,8.561271992,"C22H39NO3"
"1401_180.1_2.7",1401,180.101718905568,2.6789758637931,"C10H13NO2"
"1402_386.14_2.4",1402,386.144957910696,2.43839079538462,"C18H21N5O6"
"1404_389.22_3.2",1404,389.217026472385,3.168808340625,"C19H32O8"
"1407_175.12_1.5",1407,175.118965149234,1.45296909902913,"C6H14N4O2"
"1408_408.31_9.6",1408,408.308835348317,9.63825098125,"C22H43NO4"
"1413_416.26_3.6",1413,416.264404961684,3.59871218695652,"C21H37NO7"
"1414_280.09_0.6",1414,280.091971328826,0.62496939,"C8H20NO6P"
"1415_236.15_1.5",1415,236.149181047272,1.52071796074766,"C10H21NO5"
"1416_518.36_8.4",1416,518.358432545381,8.41189657647059,"C25H54NO6P"
"1417_341.23_8",1417,341.23210754446,7.96093094166666,"C19H34O6"
"1418_590.43_8.4",1418,590.426376347554,8.37956295,"C37H55N3O3"
"1419_166.09_1.6",1419,166.08626568802,1.59091724796748,"C9H11NO2"
"1420_337.09_2.7",1420,337.091575743194,2.672100778125,"C16H18O9"
"1421_343.13_2.7",1421,343.129498436425,2.7452316984127,"C13H24N2O5S"
"1423_415.3_9.3",1423,415.299738344939,9.26382028550724,"C30H40O2"
"1424_319.04_2.7",1424,319.043639592895,2.74071934285714,"C15H10O8"
"1425_176.01_0.9",1425,176.010842287638,0.899762615316456,NA
"1426_541.37_8.4",1426,541.371198866862,8.41677834666667,NA
"1428_413.3_4.6",1428,413.304843903015,4.5641345375,"C27H40O3"
